' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:17:837, ' Request_Type ' POST, ' Request_URL ' /User/getAuthTokens, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 407, ' Response_Time ' 126.062 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:17:970, ' Request_Type ' POST, ' Request_URL ' /User/currentUser, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 386, ' Response_Time ' 2.605 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:17:975, ' Request_Type ' POST, ' Request_URL ' /User/currentUser, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 386, ' Response_Time ' 2.439 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:18:39, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRoleToRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 4.103 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:18:42, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRoleToRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 3.887 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:18:63, ' Request_Type ' GET, ' Request_URL ' /User/CUyzTB.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 4.232 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:18:64, ' Request_Type ' POST, ' Request_URL ' /Application/getPublisherAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 488, ' Response_Time ' 105.416 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:18:119, ' Request_Type ' GET, ' Request_URL ' /Application/Fvq1WO.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 1.866 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:18:119, ' Request_Type ' GET, ' Request_URL ' /Application/AbQyVA.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 1.063 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:23:06, ' Request_Type ' POST, ' Request_URL ' /Application/applicationBySearch, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 3.050 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:25:162, ' Request_Type ' POST, ' Request_URL ' /Notification/notificationCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 60, ' Response_Time ' 3.480 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:25:162, ' Request_Type ' POST, ' Request_URL ' /Notification/notificationCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 60, ' Response_Time ' 5.616 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:25:208, ' Request_Type ' POST, ' Request_URL ' /Notification/notificationByPage, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 52, ' Response_Time ' 2.370 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:25:242, ' Request_Type ' POST, ' Request_URL ' /Notification/notificationByPage, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 2.438 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:28:545, ' Request_Type ' POST, ' Request_URL ' /Application/applicationBySearch, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 2.015 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:28:583, ' Request_Type ' GET, ' Request_URL ' /Application/AbQyVA.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 1.150 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:28:584, ' Request_Type ' GET, ' Request_URL ' /Application/Fvq1WO.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 1.019 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:36:293, ' Request_Type ' POST, ' Request_URL ' /Notification/sendPushNotification, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 433, ' Response_Time ' 395.479 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:36:370, ' Request_Type ' POST, ' Request_URL ' /Notification/notificationCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 60, ' Response_Time ' 1.494 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:36:371, ' Request_Type ' POST, ' Request_URL ' /Notification/notificationCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 60, ' Response_Time ' 1.420 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:36:430, ' Request_Type ' POST, ' Request_URL ' /Notification/notificationByPage, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 1.687 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:36:460, ' Request_Type ' POST, ' Request_URL ' /Notification/notificationByPage, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 52, ' Response_Time ' 1.429 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:40:42:872, ' Request_Type ' POST, ' Request_URL ' /Application/getPublisherAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 488, ' Response_Time ' 1.663 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:41:01:936, ' Request_Type ' POST, ' Request_URL ' /User/getAuthTokens, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 410, ' Response_Time ' 70.449 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 05-02-2020 09:41:02:38, ' Request_Type ' POST, ' Request_URL ' /Application/getAdvertiserAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 74, ' Response_Time ' 1.648 ms,
