' Request_From_IP ' ::ffff:192.168.1.107, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:49:52:880, ' Request_Type ' GET, ' Request_URL ' /User/CUyzTB.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 4992, ' Response_Time ' 20.395 ms,
' Request_From_IP ' ::ffff:192.168.1.107, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:49:52:884, ' Request_Type ' POST, ' Request_URL ' /Application/getPublisherAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 488, ' Response_Time ' 14.908 ms,
' Request_From_IP ' ::ffff:192.168.1.107, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:49:52:916, ' Request_Type ' GET, ' Request_URL ' /Application/AbQyVA.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 9824, ' Response_Time ' 1.341 ms,
' Request_From_IP ' ::ffff:192.168.1.107, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:49:52:917, ' Request_Type ' GET, ' Request_URL ' /Application/Fvq1WO.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 8097, ' Response_Time ' 0.482 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:50:03:882, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRoleToRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 938, ' Response_Time ' 4.491 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:50:47:47, ' Request_Type ' POST, ' Request_URL ' /Application/getAdvertiserAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 74, ' Response_Time ' 2.489 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:50:53:139, ' Request_Type ' GET, ' Request_URL ' /User/EtiN5C.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 1.508 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:50:53:295, ' Request_Type ' POST, ' Request_URL ' /Application/getAdvertiserAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 74, ' Response_Time ' 1.479 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:51:06:444, ' Request_Type ' POST, ' Request_URL ' /User/getAuthTokens, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 410, ' Response_Time ' 166.619 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:51:06:541, ' Request_Type ' POST, ' Request_URL ' /Application/getAdvertiserAppHitCount, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 74, ' Response_Time ' 1.250 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:51:06:554, ' Request_Type ' POST, ' Request_URL ' /User/currentUser, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' 385, ' Response_Time ' 3.170 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:51:06:610, ' Request_Type ' POST, ' Request_URL ' /UserRole/getUserRoleToRight, ' HTTP_Version ' 1.1, ' Response_Code ' 200, ' Content_Length ' -, ' Response_Time ' 2.330 ms,
' Request_From_IP ' ::ffff:192.168.1.114, ' Request_User ' -, ' Request_Date_Time ' 06-02-2020 15:51:46:44, ' Request_Type ' GET, ' Request_URL ' /User/EtiN5C.jpeg, ' HTTP_Version ' 1.1, ' Response_Code ' 304, ' Content_Length ' -, ' Response_Time ' 0.575 ms,
